"name";"k";"RSE_k";"a";"RSE_a";"b";"RSE_b";"RSE";"RSS";"df";"t_k";"t_a";"t_b";"P_k";"P_a";"P_b";"Shapiro_p.value";"Runs_p.value"
"k29";"birds";2.77303080073495;0.0486796094904376;5.40334107569256;0.0574479602760302;0.976997854444662;0.0580203663165897;0.0747109813102795;0.139543268208623;25;20.5424819645777;17.4070584089518;17.2353272391193;3.5946949505353e-17;1.73883607347143e-15;2.18740796157351e-15;0.000754462501926632;0.285483228334502
"k21";"birds_GER";3.01738078802836;0.0362194025730397;5.22081149654367;0.0404804221347889;0.965696552539544;0.0414424023882366;0.043370483206974;0.022571985763277;12;27.6095111724554;24.7032997005384;24.1298752575176;3.14701362720925e-12;1.17008601808565e-11;1.54302511297195e-11;0.0278226795885773;0.184104582625201
"k22";"birds_LUX";2.3213121509643;0.0601551179054984;7.10667609066873;0.0803459473380368;1.24416936635194;0.0836758688150326;0.0623280992466488;0.038847919557001;10;16.6236894684666;12.4461784711148;11.9508768078706;1.29734179917991e-08;2.07096917215639e-07;3.03627955517355e-07;0.00596332819160945;0.753526421521246
"k23";"birds_LUX2";3.04191656686887;0.0462576883025792;6.00574794119198;0.0439226680161287;1.12403864182475;0.0503861202025535;0.04002596074548;0.0144186978023883;9;21.6180279796698;22.7672872611653;19.8467354894557;4.56701117091415e-09;2.88723748632778e-09;9.71683754103264e-09;0.116657616279842;0.466172265919326
"k30";"birds2";2.95658538865204;0.0276281769033469;5.54045800934867;0.0306519761394887;1.02469823895917;0.0317398376140936;0.0445830800101559;0.0477036245566072;24;36.1949325682383;32.6243239734128;31.5061473268522;1.86778802226518e-22;2.15331032956149e-21;4.88246219496033e-21;0.0203220018788641;0.407016027271374
"k16";"Covid_AUS";4.10349722998803;0.0817353579383335;2.63925289993022;0.0959941074386099;0.607676162745486;0.0978386069735625;0.104710216822649;0.142534983591601;13;12.2346072155757;10.4173060897464;10.2209141251389;1.65610424851249e-08;1.11737309385824e-07;1.39549708997307e-07;0.0590583217411069;0.405380556458942
"k17";"Covid_AUS2";4.60924475510318;0.0510040347348004;2.61669147520054;0.0546712864794961;0.576004551100281;0.0557353703887972;0.064973819998183;0.0506591674218754;12;19.6062920355141;18.2911371653023;17.9419279539048;1.75899600491769e-10;3.94667604363853e-10;4.93626851075338e-10;0.336501643867407;0.773972000650132
"k11";"Covid_ECDC";6.29298836559375;0.0287021124315803;2.25113606898889;0.0341191360638089;0.421294678507329;0.0345089058790858;0.0467475579632051;0.0284093442818018;13;34.8406411682689;29.3090656847179;28.978026817305;3.17737832910418e-14;2.92856384594114e-13;3.38753149802983e-13;0.162615787822743;0.6047728544859
"k12";"Covid_ECDC2";6.24936181944818;0.0221355864143217;2.27160922700446;0.0263100092306274;0.426156276794845;0.026690167322926;0.035880289603582;0.0154487421844429;12;45.1761241506122;38.0083485047167;37.4669813006767;9.02206899395443e-15;7.07676538201789e-14;8.39495109978281e-14;0.270083491407589;0.80159349660429
"k28";"Covid_ECDC22";5.91092462781731;0.017524667805638;2.34504251863181;0.0207543263237918;0.452269330016661;0.0210320254947889;0.0278350322968576;0.0100722572985724;13;57.0624225857384;48.1827251050614;47.5465380282925;5.42257504634158e-17;4.84123539871113e-16;5.74914064724209e-16;0.638159794469566;0.645109875784772
"k20";"Covid_ECU";4.27101708329608;0.173505680696443;3.95712744215594;0.205043628549003;0.423283960291015;0.214823675233521;0.181747680183603;0.429418850277574;13;5.76350005363542;4.87701084435799;4.65498041085538;6.56077785808325e-05;0.000302224691762456;0.000450437847084424;0.987592563401173;0.781511294998713
"k";"Covid_GER";5.04385914702587;0.0136950146237691;2.74826285602511;0.0160607287339316;0.533964234834937;0.0164105956909399;0.0202026989755087;0.00530593759663528;13;73.019272156482;62.2636753640759;60.9362401483141;2.21897719892676e-18;1.75139609242362e-17;2.31560705402513e-17;0.533984551566113;0.253191159699596
"k3";"Covid_LUX";4.75781376789743;0.0486482452061633;2.5101170632994;0.0573188679577625;0.507764234235451;0.0582961830093238;0.0660053078326267;0.0566371086070375;13;20.5557260238713;17.4462622104974;17.1537817465693;2.68708421337962e-11;2.11306486129657e-10;2.61008875117654e-10;0.486466704335972;0.405380556458942
"k18";"Covid_THA";3.74373380084914;0.04229307158347;3.57215545168052;0.0485134652334205;0.777279249890744;0.0500152756836365;0.0561992182173264;0.0410585776671028;13;23.6445347325126;20.6128338841297;19.9938915927473;4.55183939988059e-12;2.59449650622184e-11;3.81297117450829e-11;0.457060100719952;0.553745778412028
"k6";"Covid_USA";7.32222461957462;0.0419732227177499;2.32721903283481;0.0498447608214099;0.362137869504334;0.0510617479217847;0.0725114290166239;0.0683527953944274;13;23.8247133589081;20.0622890655033;19.5841317757429;4.13265904474376e-12;3.65214168590882e-11;4.95068480803559e-11;0.838900452024533;0.00966062299748495
"k8";"Euromomo";5.71443133091019;0.0562951514977413;1.79771182733158;0.0687006143604468;0.446416973718746;0.0674966536445442;0.0859766255917103;0.0960957419257828;13;17.7635191201168;14.5559105884173;14.8155493051;1.68651975387706e-10;1.99900742206473e-09;1.60803312751521e-09;0.0289504919806793;0.16551785869747
"k9";"Euromomo2";5.56996896788097;0.0385849188902925;1.90769785630532;0.0471497725759453;0.468161294977491;0.0465358731173024;0.0585573940784351;0.0411476208150857;12;25.9168615293264;21.2090100411253;21.4887984905605;6.64600397613289e-12;7.02172673356356e-11;6.0224135895834e-11;0.115062270862626;0.310296867263819
"k10";"Euromomo3";5.32210855461495;0.0213693683738226;2.10606711787082;0.0275599459704738;0.50545632464066;0.0266173640444119;0.0310378979173643;0.010596862178416;11;46.7959549625715;36.2845413801372;37.5694602339837;5.19645493474082e-14;8.39000955434982e-13;5.73779063589531e-13;0.800925873436826;1
"k24";"horses_cases";5.8353894119451;0.0743548439365666;2.28587198295633;0.0881979176341725;0.504964886921606;0.0891448328090736;0.123330099988456;0.18252376275795;12;13.4490229157514;11.3381361694706;11.217700100933;1.34474005453847e-08;9.07561095716636e-08;1.02110593696775e-07;0.157847843619801;0.925612374580905
"k25";"horses_cases2";5.1853802826806;0.0543896208303342;2.69252437707998;0.072488751259713;0.543064917773454;0.0635579075656964;0.0693572685709225;0.0529147377398099;11;18.3858608450214;13.7952438498657;15.7336834754409;1.3155458175974e-09;2.74214694653924e-08;6.88699340240014e-09;0.907978985103968;0.625796062219458
"k26";"horses_deaths";6.21777217310538;0.0625435605789322;2.29905579584225;0.0742040076878416;0.495996133870639;0.0751435915842227;0.109295941696904;0.131401631585544;11;15.9888562586386;13.4763610640379;13.3078547207739;5.80960252779766e-09;3.4998533718097e-08;3.98980468245337e-08;0.159645255565839;0.383255328487114
"k27";"horses_deaths2";5.67737126588271;0.0415309293474154;2.61037633760773;0.0546487729669194;0.524626415767976;0.0481284033328374;0.057770440884324;0.0333742383996917;10;24.0784402302867;18.298672517411;20.7777514056385;3.47354994194744e-10;5.10879278511434e-09;1.47750036469219e-09;0.857888960478514;0.394066207279701
"k13";"total_AUS";11.967233893428;0.262104527528491;1.19024867888859;0.258162682252414;0.150478350893756;0.327144394984443;0.247207131848506;0.794447758477938;13;3.81527175218787;3.87352653480052;3.05675418968298;0.00214424087639843;0.00192000587822198;0.00917989200353185;0.601738967162485;0.323678160907016
"k14";"total_AUS2";4.20322924427053;0.10124789779585;2.26100916897641;0.11997986713696;0.574805978079109;0.125324926326617;0.121911404403677;0.0891743431420617;6;9.87674827596256;8.33473168342879;7.97925863043271;6.21615046567203e-05;0.000161961904755323;0.000206416119285536;0.22643050133712;0.260797976946239
"k15";"total_AUS3";4.65991130665035;0.082456376693659;2.18546830493191;0.0860225752492449;0.530019277215624;0.0945641780587222;0.0902909584984692;0.0407622859328614;5;12.1276248132414;11.6248554185057;10.5748288678512;6.73437613599943e-05;8.27056956599548e-05;0.000130677822090569;0.370275973481404;0.063775916391946
"k19";"total_ECU";3.64956572502178;0.0730630231455927;3.16040212811702;0.0854492451621394;0.71375343239456;0.0878033931820171;0.090140583840755;0.105629223116978;13;13.686813889528;11.7028535255344;11.3890814894476;4.25111884997653e-09;2.82134607716357e-08;3.90084568261977e-08;0.034021237608978;0.16551785869747
"k1";"total_GER";8.59161447923602;0.0759282229427928;0.770062999240854;0.169497908763652;0.29973336332293;0.0968845048247855;0.109989824513075;0.157270899453423;13;13.1703332600506;5.89977780430556;10.3215679515366;6.7925223077398e-09;5.23802208647044e-05;1.24472192301061e-07;0.612279945965418;0.16551785869747
"k2";"total_GER2";5.58540591461466;0.0523523801123596;2.04006574088648;0.082903697117433;0.474938570591563;0.0658857682226103;0.0585341728942031;0.0342624939640846;10;19.1013283035801;12.0621882349047;15.1777846259798;3.36228810703885e-09;2.7827528666948e-07;3.1218430352025e-08;0.0186021950852913;0.28778739015415
"k4";"total_LUX";6.05523993977024;0.171407787916047;0.951380098156207;0.308718609391655;0.305985333857926;0.220418138332404;0.199247880938897;0.516096334762333;13;5.8340406358303;3.23919572574698;4.53683171251515;5.8371024109424e-05;0.00646121254966397;0.000558401742431655;0.991622125371701;0.263345873830711
"k5";"total_LUX2";2.20518496330051;0.151663291355808;5.89774057562897;0.176477011454834;1.21716842328908;0.188927293551281;0.151461635348398;0.183525015859288;8;6.59355333159663;5.66646041745743;5.29304147221358;0.000170529055757127;0.000472330373495457;0.00073453493166516;0.296200326327478;0.185876732365876
"k7";"total_USA";5.24090921035333;0.0289441258945899;2.76738445536191;0.0339403623025656;0.504137880286464;0.0347015322731781;0.0430829619733358;0.0241298409611466;13;34.5493245725177;29.4634450594656;28.8171713032088;3.53998687729328e-14;2.73782153471996e-13;3.63798295646869e-13;0.385689104954993;0.120507369086654
