"name";"k";"RSE_k";"a";"RSE_a";"b";"RSE_b";"RSE";"RSS";"df";"t_k";"t_a";"t_b";"P_k";"P_a";"P_b";"Shapiro_p.value";"Runs_p.value"
"k29";"birds";2.7718643620836;0.0485741510540696;8.48537231510232;0.0602110955557478;1.47209564792034;0.0597855526934112;0.0742964646590088;0.137999116520684;25;20.5870813652896;16.608234591482;16.7264490323965;3.41492479005377e-17;5.14273941940206e-15;4.36828959661442e-15;0.00131587807622223;0.285483228334502
"k21";"birds_GER";3.02840560431956;0.0678788763526111;7.9350804077349;0.0857215004910934;1.40879453870454;0.0847421770921394;0.0781538623445946;0.0732963143925341;12;14.7321236551603;11.6656847380302;11.8004992828153;4.77494187848584e-09;6.62105445352768e-08;5.82783571217976e-08;0.372234156931235;0.184104582625201
"k22";"birds_LUX";2.47736663263827;0.0232913680920014;9.64866505246386;0.0276459634817213;1.63427636318066;0.0275152185079012;0.023913777273825;0.00571868743502109;10;42.9343607490113;36.1716458412155;36.3435238470973;1.12792728281901e-12;6.19814222948088e-12;5.91311580100778e-12;0.295229851113547;0.602731680049805
"k23";"birds_LUX2";2.46677113926946;0.0378538703513539;9.68371555842355;0.0379148235518085;1.63858302208959;0.0339463220543885;0.0251776236607036;0.00570521459880018;9;26.4173779515318;26.374908447973;29.4582723394248;7.71073292268828e-10;7.82188599981859e-10;2.92195081643706e-10;0.275869097907228;0.466172265919326
"k30";"birds2";2.88157484503256;0.0448716294472193;8.47268633032825;0.052701587548207;1.48964495218873;0.0523426883961449;0.0668283130521046;0.107184562209362;24;22.285796444639;18.9747604677996;19.1048650851042;1.5159078063095e-17;5.89134140772213e-16;5.04944134347221e-16;0.0394094967996685;0.329347313763944
"k16";"Covid_AUS";4.08580399606707;0.108019496998878;4.11239332727946;0.141574542614889;0.888060565902538;0.133652078522195;0.13316669545208;0.23053379410915;13;9.25758800756486;7.0634167805168;7.48211334277106;4.369969054621e-07;8.49954017455875e-06;4.61641371781887e-06;0.645119190152693;0.120507369086654
"k17";"Covid_AUS2";4.77032373519105;0.0735030754798459;4.12731085620007;0.0948559455575483;0.827687413131116;0.0861921311158602;0.0955249240633507;0.109500133407707;12;13.6048729045929;10.542301741047;11.6019871774117;1.18039388044349e-08;2.01822818438494e-07;7.03561157127978e-08;0.594960765381106;0.217934356935053
"k11";"Covid_ECDC";6.23507972510701;0.0693814036273699;3.66794643350372;0.0927747476091557;0.624753874421318;0.086281073861264;0.108744648603487;0.153730181798645;13;14.4130840213431;10.7787951546129;11.590027282321;2.25659196289745e-09;7.48646089197064e-08;3.16725671010994e-08;0.0956044656297983;0.0102875384654519
"k12";"Covid_ECDC2";6.20946484690512;0.067161005735985;3.6897652868933;0.089723907510584;0.629319749541558;0.0835473890012251;0.105187638104103;0.132773270519037;12;14.8895923913212;11.1453014892607;11.9692549576305;4.22891234160111e-09;1.09665108767571e-07;4.97612723115334e-08;0.0930113086769362;0.0161653939260311
"k28";"Covid_ECDC22";5.88323239105271;0.0583746639869948;3.81062317725972;0.0774927848968874;0.668814589546181;0.0724541667978706;0.0895585885547851;0.104269630191029;13;17.1307195913417;12.9044271841644;13.8018287173152;2.65430238634513e-10;8.70049014727964e-09;3.83794249113304e-09;0.159476413146324;0.0102875384654519
"k20";"Covid_ECU";4.2616712451308;0.173148884476458;6.11829453829126;0.220724487225532;0.628234476257024;0.216342283263591;0.184611158724107;0.443056639030948;13;5.77537650920277;4.53053493325469;4.62230491845924;6.43262749758781e-05;0.000564859550277911;0.000477933278951937;0.479619072945999;0.645109875784772
"k";"Covid_GER";4.99024221381263;0.0535708541990471;4.46618638605186;0.0695237916151459;0.801187043819622;0.0661956972222737;0.0767332561158169;0.0765439037237622;13;18.6668668056779;14.3835653489035;15.1067220674808;9.05331142686962e-11;2.31414220063203e-09;1.2648687183918e-09;0.173638654475469;0.0125549185969665
"k3";"Covid_LUX";4.68592223305097;0.0654197734467459;4.14685375626321;0.085685202339694;0.774387809111013;0.0809562105818125;0.0863535924971899;0.0969402581832196;13;15.2858982431976;11.6706265807199;12.3523568212154;1.09342476171467e-09;2.91582402144211e-08;1.47574310188386e-08;0.0182398110666996;0.405380556458942
"k18";"Covid_THA";3.71211731760962;0.0589375383921347;5.76436923697052;0.0746655613185413;1.17077596602007;0.0724892508893478;0.0761526268215861;0.0753898934337608;13;16.9671151405511;13.3930554105628;13.7951487666284;2.99201371243049e-10;5.53888766435859e-09;3.86072191929356e-09;0.63976933979883;0.553745778412028
"k6";"Covid_USA";7.29199962322929;0.0879498544636076;3.69867214648523;0.117670974470255;0.52316981971987;0.109872646329696;0.146696880426245;0.279759671448295;13;11.3701154606661;8.49827244570647;9.1014463872954;3.97893326849334e-08;1.1470284059201e-06;5.30297568089999e-07;0.419599381330918;0.00966062299748495
"k8";"Euromomo";5.80628392703357;0.0312902657272275;2.98234000983906;0.0439185077400493;0.662967856207472;0.0393138763091252;0.0462106510171466;0.0277605154765706;13;31.9588209546537;22.7694439419238;25.4363113964391;9.64388285919363e-14;7.35221367550741e-12;1.79446616909245e-12;0.990271738550659;0.130206291383294
"k9";"Euromomo2";5.68438797254418;0.0281300432959913;3.10141084123417;0.0402747826061485;0.684819107348636;0.0358335563281753;0.0398677780250946;0.0190732766958986;12;35.5491809762876;24.8294325950586;27.9068030770286;1.56882975978861e-13;1.10191695437323e-11;2.77253566543376e-12;0.766058599200177;0.310296867263819
"k10";"Euromomo3";5.66315121347191;0.0325329119481177;3.12191767804212;0.0489623311033786;0.688391703784192;0.0419441739293508;0.0415269887887655;0.0189693987764848;11;30.7381030506818;20.4238641720021;23.8412133633711;5.11771198082702e-12;4.26708921701319e-10;8.05690724252071e-11;0.817952720201154;0.138272803523349
"k24";"horses_cases";5.8863976397912;0.0952134544442286;3.71969747655128;0.126867394454443;0.728206949368903;0.11823464055837;0.152403475600609;0.278721832501745;12;10.5027173505794;7.88224590171661;8.45775819402372;2.10277919953086e-07;4.37486452796559e-06;2.11752513575509e-06;0.144762217042548;0.416975589097056
"k25";"horses_cases2";5.22386196047789;0.0655448076282302;4.33236661253241;0.0879203662806803;0.797422097415094;0.0790599215183475;0.0871858947462668;0.0836151826697783;11;15.2567386523124;11.3739289575701;12.6486338563836;9.53090055986611e-09;2.01381682909361e-07;6.75933120777302e-08;0.394832289548868;0.33750568376977
"k26";"horses_deaths";6.2584925514246;0.0866657742861074;3.75787114073633;0.115297304753344;0.718602476336042;0.107622615429567;0.146528875493939;0.236177824888702;11;11.5385803477475;8.67322963133705;9.29172735682529;1.73886179381963e-07;3.005576442678e-06;1.53252126207181e-06;0.122229273350243;0.793649751006545
"k27";"horses_deaths2";5.67473142639255;0.0625428957907482;4.26887210470055;0.0840470541732391;0.775703853865695;0.0755580116169852;0.0894405478311425;0.0799961159633489;10;15.9890262092394;11.8980969629082;13.2348638959578;1.8901045387254e-08;3.16523286483183e-07;1.15705917067907e-07;0.281850513477227;0.15117423597492
"k13";"total_AUS";12.1481034084475;0.296773351199316;1.94124257449507;0.356785465857285;0.215796276103412;0.38082053524169;0.254499357486447;0.84200899849319;13;3.36957478142432;2.80280475438425;2.62590881388616;0.00502788428617917;0.0149492464342149;0.0209496403091889;0.424659394184608;1
"k14";"total_AUS2";4.10820595767846;0.126761082775239;3.74206512493619;0.16893098927659;0.877745388130602;0.159060759698354;0.153297708934514;0.141001125387426;6;7.88885656470061;5.91957700764248;6.28690572015637;0.000219871248646046;0.00103518328942088;0.000753836961770633;0.619200848186904;0.260797976946239
