"name";"Gompertz_AICc";"Logistic_AICc";"Delta_AICc";"Gompertz_RSE";"Logistic_RSE";"Delta_RSE";"Gompertz_RSS";"Logistic_RSS";"Delta_RSS";"Gompertz_LogLik";"Logistic_LogLik";"Delta_LogLik"
"1";"birds";-59.2446936550459;-59.5562618750062;0.31156821996035;0.0747109813102795;0.0742964646590088;0.00041451665127068;0.139543268208623;0.137999116520684;0.00154415168793962;34.4919120449142;34.6476961548944;-0.155784109980175
"2";"birds_GER";-42.9182826643985;-25.2512713077783;-17.6670113566201;0.043370483206974;0.0781538623445946;-0.0347833791376206;0.022571985763277;0.0732963143925341;-0.0507243286292572;27.4591413321992;18.6256356538892;8.83350567831007
"3";"birds_LUX";-25.6772495890418;-50.5841473848966;24.9068977958549;0.0623280992466488;0.023913777273825;0.0384143219728238;0.038847919557001;0.00571868743502109;0.0331292321219799;19.3386247945209;31.7920736924483;-12.4534488979274
"4";"birds_LUX2";-32.9208227602887;-44.0465654517741;11.1257426914855;0.04002596074548;0.0251776236607036;0.0148483370847764;0.0144186978023883;0.00570521459880018;0.00871348320358813;23.3175542372872;28.8804255830299;-5.56287134574273
"5";"birds2";-84.7009260023835;-62.8432151197159;-21.8577108826675;0.0445830800101559;0.0668283130521046;-0.0222452330419487;0.0477036245566072;0.107184562209362;-0.0594809376527552;47.2595539102826;36.3306984689489;10.9288554413338
"6";"Covid_AUS";-18.4897078251622;-10.7967478985993;-7.69295992656283;0.104710216822649;0.13316669545208;-0.0284564786294303;0.142534983591601;0.23053379410915;-0.087998810517549;15.0630357307629;11.2165557674815;3.84647996328141
"7";"Covid_AUS2";-30.7921230579294;-19.2300396912595;-11.5620833666699;0.064973819998183;0.0955249240633507;-0.0305511040651677;0.0506591674218754;0.109500133407707;-0.0588409659858315;21.3960615289647;15.6150198456297;5.78104168333495
"8";"Covid_ECDC";-44.2956174797137;-17.2799233285119;-27.0156941512018;0.0467475579632051;0.108744648603487;-0.0619970906402815;0.0284093442818018;0.153730181798645;-0.125320837516843;27.9659905580387;14.4581434824378;13.5078470756009
"9";"Covid_ECDC2";-48.6060123848333;-16.3392820965527;-32.2667302882806;0.035880289603582;0.105187638104103;-0.0693073485005212;0.0154487421844429;0.132773270519037;-0.117324528334594;30.3030061924166;14.1696410482763;16.1333651441403
"10";"Covid_ECDC22";-60.8865498431604;-23.4914250462797;-37.3951247968807;0.0278350322968576;0.0895585885547851;-0.0617235562579275;0.0100722572985724;0.104269630191029;-0.0941973728924564;36.261456739762;17.5638943413217;18.6975623984403
"11";"Covid_ECU";-0.844182783188927;-0.343945477188067;-0.50023730600086;0.181747680183603;0.184611158724107;-0.00286347854050473;0.429418850277574;0.443056639030948;-0.013637788753374;6.24027320977628;5.99015455677585;0.25011865300043
"12";"Covid_GER";-71.1418834047837;-28.4372756230721;-42.7046077817117;0.0202026989755087;0.0767332561158169;-0.0565305571403082;0.00530593759663528;0.0765439037237622;-0.0712379661271269;41.3891235205737;20.0368196297178;21.3523038908558
"13";"Covid_LUX";-33.2564769289915;-24.657589020737;-8.59888790825447;0.0660053078326267;0.0863535924971899;-0.0203482846645633;0.0566371086070375;0.0969402581832196;-0.0403031495761821;22.4464202826776;18.1469763285503;4.29944395412723
"14";"Covid_THA";-38.403110990434;-28.6803356936008;-9.72277529683312;0.0561992182173264;0.0761526268215861;-0.0199534086042597;0.0410585776671028;0.0753898934337608;-0.034331315766658;25.0197373133988;20.1583496649822;4.86138764841656
"15";"Covid_USA";-30.2481879515239;-7.70021262705593;-22.547975324468;0.0725114290166239;0.146696880426245;-0.0741854514096207;0.0683527953944274;0.279759671448295;-0.211406876053867;20.9422757939438;9.66828813170978;11.273987662234
"16";"Euromomo";-24.7975872212806;-44.6652720485266;19.867684827246;0.0859766255917103;0.0462106510171466;0.0397659745745637;0.0960957419257828;0.0277605154765706;0.0683352264492122;18.2169754288221;28.1508178424451;-9.933842413623
"17";"Euromomo2";-33.9114345839518;-45.4446027627317;11.5331681787799;0.0585573940784351;0.0398677780250946;0.0186896160533405;0.0411476208150857;0.0190732766958986;0.0220743441191871;22.9557172919759;28.7223013813659;-5.76658408938997
"18";"Euromomo3";-48.4328420367138;-40.2810738853541;-8.1517681513597;0.0310378979173643;0.0415269887887655;-0.0104890908714012;0.010596862178416;0.0189693987764848;-0.00837253659806879;30.4386432405791;26.3627591648993;4.07588407567985
"19";"horses_cases";-11.5657206335364;-5.21571217991392;-6.35000845362248;0.123330099988456;0.152403475600609;-0.0290733756121531;0.18252376275795;0.278721832501745;-0.0961980697437947;11.7828603167682;8.60785608995696;3.17500422681124
"20";"horses_cases2";-25.9191065982791;-19.5135015434135;-6.40560505486565;0.0693572685709225;0.0871858947462668;-0.0178286261753443;0.0529147377398099;0.0836151826697783;-0.0307004449299684;19.1817755213618;15.978972993929;3.20280252743283
"21";"horses_deaths";-13.18503382544;-4.97646291404497;-8.20857091139499;0.109295941696904;0.146528875493939;-0.0372329337970349;0.131401631585544;0.236177824888702;-0.104776193303158;12.8147391349422;8.71045367924471;4.10428545569749
"22";"horses_deaths2";-27.6515625497693;-16.2870433309636;-11.3645192188057;0.057770440884324;0.0894405478311425;-0.0316701069468186;0.0333742383996917;0.0799961159633489;-0.0466218775636572;20.3257812748846;14.6435216654818;5.68225960940287
"23";"total_AUS";8.99924835702366;9.9295438990707;-0.930295542047038;0.247207131848506;0.254499357486447;-0.00729222563794185;0.794447758477938;0.84200899849319;-0.0475612400152517;1.31855763966999;0.85340986864647;0.465147771023519
"24";"total_AUS2";2.01141517829524;6.13498573717573;-4.1235705588805;0.121911404403677;0.153297708934514;-0.031386304530837;0.0891743431420617;0.141001125387426;-0.0518267822453647;7.99429241085238;5.93250713141213;2.06178527944025
"25";"total_AUS3";1.80083361556226;7.79176361860209;-5.99093000303983;0.0902909584984692;0.131298118736689;-0.0410071602382198;0.0407622859328614;0.0861959799189683;-0.0454336939861069;9.76624985888554;6.77078485736562;2.99546500151992
"26";"total_ECU";-23.2841462478272;-11.7605265234571;-11.52361972437;0.090140583840755;0.12921576585847;-0.0390751820177154;0.105629223116978;0.217057283903083;-0.111428060786105;17.4602549420954;11.6984450799104;5.76180986218501
"27";"total_GER";-16.9155906381821;-23.3417141116841;6.426123473502;0.109989824513075;0.089978567091343;0.0200112574217325;0.157270899453423;0.105249852965547;0.0520210464878757;14.2759771372729;17.4890388740239;-3.213061736751
"28";"total_GER2";-27.3100916994393;-23.1779334347085;-4.13215826473074;0.0585341728942031;0.0686169713394359;-0.0100827984452328;0.0342624939640846;0.0470828875579697;-0.0128203935938851;20.1550458497196;18.0889667173543;2.06607913236537
"29";"total_LUX";2.09758777267458;1.97090789920332;0.126679873471261;0.199247880938897;0.198460668393415;0.000787212545482557;0.516096334762333;0.512026279689092;0.00407005507324087;4.76938793184453;4.83272786858016;-0.0633399367356304
"30";"total_LUX2";0.85701915611264;2.03352617015649;-1.17650701404385;0.151461635348398;0.159781930689416;-0.00832029534101855;0.183525015859288;0.204242122998699;-0.0207171071394114;6.90482375527701;6.31657024825509;0.588253507021924
"31";"total_USA";-46.9079187014834;-22.9362990408225;-23.9716196606609;0.0430829619733358;0.09112577722445;-0.0480428152511142;0.0241298409611466;0.107950794571881;-0.0838209536107345;29.2721411689235;17.2863313385931;11.9858098303304
