"week";"date";"total_GER";"Covid_THA";"Covid_ECU";"Covid_ECDC55";"Covid_ECDC22";"Covid_LUX";"birds_LUX";"birds_GER";"horses_deaths";"horses_cases"
"1";10;2020-03-01;19590;1;2;192;191;0;3;92;1;0
"2";11;2020-03-08;19855;0;5;1323;1315;1;7;134;0;3
"3";12;2020-03-15;19917;0;41;4604;4573;4;1;284;12;13
"4";13;2020-03-22;19653;5;122;13510;13342;10;5;351;88;102
"5";14;2020-03-29;20425;14;145;24583;23885;16;25;1021;90;92
"6";15;2020-04-05;20620;15;141;29374;28254;23;87;4829;92;99
"7";16;2020-04-12;19365;12;145;27447;25935;18;141;4440;91;103
"8";17;2020-04-19;18778;4;770;22636;20872;13;73;2396;75;62
"9";18;2020-04-26;18055;3;345;17324;15452;7;12;959;50;57
"10";19;2020-05-03;17543;2;971;13001;11448;8;7;922;24;30
"11";20;2020-05-10;17050;0;408;9948;8291;4;5;276;14;5
"12";21;2020-05-17;17236;0;250;7811;6275;5;4;0;6;8
"13";22;2020-05-24;16811;1;262;4291;2500;1;1;0;3;0
"14";23;2020-05-31;17240;1;266;4725;2957;0;0;0;0;0
"15";24;2020-06-07;16555;NA;325;3990;2152;0;0;0;NA;NA
"16";25;2020-06-14;16516;NA;NA;4785;2768;0;NA;NA;NA;NA
