# DeStatis Stand 01.03.2021;
# https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Tabellen/sonderauswertung-sterbefaelle.html?nn=209016;
date;GER_total_DeStatis
01.03.2020;2655
02.03.2020;2850
03.03.2020;2892
04.03.2020;2794
05.03.2020;2782
06.03.2020;2901
07.03.2020;2716
08.03.2020;2712
09.03.2020;2888
10.03.2020;2884
11.03.2020;2888
12.03.2020;2851
13.03.2020;2830
14.03.2020;2802
15.03.2020;2747
16.03.2020;2917
17.03.2020;2865
18.03.2020;2937
19.03.2020;2818
20.03.2020;2876
21.03.2020;2757
22.03.2020;2573
23.03.2020;2690
24.03.2020;2728
25.03.2020;2927
26.03.2020;2836
27.03.2020;2951
28.03.2020;2948
29.03.2020;2627
30.03.2020;2888
31.03.2020;2941
01.04.2020;2988
02.04.2020;3070
03.04.2020;2977
04.04.2020;2934
05.04.2020;2854
06.04.2020;3038
07.04.2020;3050
08.04.2020;3160
09.04.2020;2968
10.04.2020;2759
11.04.2020;2791
12.04.2020;2750
13.04.2020;2684
14.04.2020;2732
15.04.2020;2739
16.04.2020;2825
17.04.2020;2924
18.04.2020;2711
19.04.2020;2670
20.04.2020;2653
21.04.2020;2740
22.04.2020;2701
23.04.2020;2749
24.04.2020;2725
25.04.2020;2540
26.04.2020;2451
27.04.2020;2626
28.04.2020;2579
29.04.2020;2769
30.04.2020;2703
01.05.2020;2493
02.05.2020;2434
03.05.2020;2314
04.05.2020;2513
05.05.2020;2513
06.05.2020;2550
07.05.2020;2534
08.05.2020;2564
09.05.2020;2555
10.05.2020;2412
11.05.2020;2462
12.05.2020;2461
13.05.2020;2516
14.05.2020;2418
15.05.2020;2459
16.05.2020;2322
17.05.2020;2351
18.05.2020;2494
19.05.2020;2527
20.05.2020;2601
21.05.2020;2418
22.05.2020;2469
23.05.2020;2376
24.05.2020;2276
25.05.2020;2429
26.05.2020;2416
27.05.2020;2418
28.05.2020;2482
29.05.2020;2408
30.05.2020;2382
31.05.2020;2229
01.06.2020;2322
02.06.2020;2526
03.06.2020;2596
04.06.2020;2691
05.06.2020;2499
06.06.2020;2377
07.06.2020;2262
08.06.2020;2309
09.06.2020;2325
10.06.2020;2383
11.06.2020;2319
12.06.2020;2520
13.06.2020;2437
14.06.2020;2312
15.06.2020;2303
16.06.2020;2404
17.06.2020;2396
