WeekDate;Count
29.06.2014;0.1526
06.07.2014;0.1244
13.07.2014;0.1312
20.07.2014;0.1206
27.07.2014;0.1429
03.08.2014;0.1225
10.08.2014;0.1584
17.08.2014;0.1623
24.08.2014;0.1701
31.08.2014;0.1672
07.09.2014;0.1196
14.09.2014;0.2147
21.09.2014;0.1972
28.09.2014;0.1846
05.10.2014;0.1681
12.10.2014;0.1904
19.10.2014;0.1817
26.10.2014;0.206
02.11.2014;0.2108
09.11.2014;0.1701
16.11.2014;0.2108
23.11.2014;0.2361
30.11.2014;0.2176
07.12.2014;0.2603
14.12.2014;0.3652
21.12.2014;0.4904
28.12.2014;0.272
04.01.2015;0.3283
11.01.2015;0.3613
18.01.2015;0.3477
25.01.2015;0.3322
01.02.2015;0.273
08.02.2015;0.3069
15.02.2015;0.2137
22.02.2015;0.2739
01.03.2015;0.2768
08.03.2015;0.273
15.03.2015;0.1691
22.03.2015;0.2652
29.03.2015;0.2875
05.04.2015;0.2137
12.04.2015;0.2264
19.04.2015;0.1749
26.04.2015;0.2021
03.05.2015;0.2623
10.05.2015;0.1623
17.05.2015;0.2351
24.05.2015;0.2448
31.05.2015;0.1904
07.06.2015;0.1584
14.06.2015;0.1477
21.06.2015;0.1875
28.06.2015;0.1681
05.07.2015;0.1817
12.07.2015;0.1749
19.07.2015;0.1574
26.07.2015;0.1759
02.08.2015;0.1526
09.08.2015;0.1749
16.08.2015;0.1526
23.08.2015;0.2031
30.08.2015;0.2157
06.09.2015;0.1604
13.09.2015;0.1837
20.09.2015;0.1943
27.09.2015;0.2118
04.10.2015;0.1982
11.10.2015;0.2196
18.10.2015;0.1633
25.10.2015;0.2147
01.11.2015;0.2021
08.11.2015;0.2302
15.11.2015;0.2477
22.11.2015;0.2788
29.11.2015;0.2953
06.12.2015;0.2992
13.12.2015;0.3458
20.12.2015;0.668
27.12.2015;0.3555
03.01.2016;0.3545
10.01.2016;0.3438
17.01.2016;0.3729
24.01.2016;0.3904
31.01.2016;0.3516
07.02.2016;0.5865
14.02.2016;0.4506
21.02.2016;0.4283
28.02.2016;0.303
06.03.2016;0.3137
13.03.2016;0.2759
20.03.2016;0.2603
27.03.2016;0.2875
03.04.2016;0.207
10.04.2016;0.2545
17.04.2016;0.2506
24.04.2016;0.2429
01.05.2016;0.1817
08.05.2016;0.2448
15.05.2016;0.2021
22.05.2016;0.2157
29.05.2016;0.1837
05.06.2016;0.2322
12.06.2016;0.1788
19.06.2016;0.1526
26.06.2016;0.2128
03.07.2016;0.1633
10.07.2016;0.1691
17.07.2016;0.2137
24.07.2016;0.1322
31.07.2016;0.1739
07.08.2016;0.2079
14.08.2016;0.2147
21.08.2016;0.1972
28.08.2016;0.2565
04.09.2016;0.2361
