Year;Week;Outpatient_visits
2014;27;0.1524
2014;28;0.1231
2014;29;0.1329
2014;30;0.1199
2014;31;0.14
2014;32;0.1218
2014;33;0.1583
2014;34;0.1622
2014;35;0.1674
2014;36;0.168
2014;37;0.1179
2014;38;0.2129
2014;39;0.1973
2014;40;0.1823
2014;41;0.1654
2014;42;0.1875
2014;43;0.1797
2014;44;0.2058
2014;45;0.211
2014;46;0.1693
2014;47;0.2012
2014;48;0.2344
2014;49;0.2142
2014;50;0.2604
2014;51;0.263
2014;52;0.2649
2014;53;0.2695
2015;1;0.3281
2015;2;0.3586
2015;3;0.3456
2015;4;0.3228
2015;5;0.2708
2015;6;0.3072
2015;7;0.2103
2015;8;0.2422
2015;9;0.2734
2015;10;0.2734
2015;11;0.1706
2015;12;0.2643
2015;13;0.2884
2015;14;0.2123
2015;15;0.2246
2015;16;0.1726
2015;17;0.2031
2015;18;0.263
2015;19;0.1615
2015;20;0.2337
2015;21;0.2441
2015;22;0.1901
2015;23;0.1563
2015;24;0.1459
2015;25;0.1882
2015;26;0.1628
2015;27;0.1804
2015;28;0.1719
2015;29;0.1557
2015;30;0.1739
2015;31;0.1498
2015;32;0.1732
2015;33;0.1511
2015;34;0.2012
2015;35;0.2162
2015;36;0.1583
2015;37;0.1869
2015;38;0.1947
2015;39;0.2103
2015;40;0.1966
2015;41;0.2162
2015;42;0.1615
2015;43;0.2149
2015;44;0.2031
2015;45;0.2279
2015;46;0.2448
2015;47;0.2741
2015;48;0.2955
2015;49;0.2988
2015;50;0.3176
2015;51;0.3352
2015;52;0.3547
2016;1;0.3521
2016;2;0.3411
2016;3;0.3703
2016;4;0.3892
2016;5;0.3489
2016;6;0.5837
2016;7;0.4497
2016;8;0.4269
2016;9;0.2994
2016;10;0.3131
2016;11;0.2734
2016;12;0.2617
2016;13;0.2571
2016;14;0.2838
2016;15;0.2038
2016;16;0.25
2016;17;0.2474
2016;18;0.2402
2016;19;0.1797
2016;20;0.2448
2016;21;0.2005
2016;22;0.2162
2016;23;0.1823
2016;24;0.2305
2016;25;0.1771
2016;26;0.1518
2016;27;0.2103
2016;28;0.1609
2016;29;0.1661
2016;30;0.2123
2016;31;0.1303
2016;32;0.1719
2016;33;0.2058
2016;34;0.2181
2016;35;0.1966
2016;36;0.2558
2016;37;0.2337
2016;38;0.2376
2016;39;0.2084
2016;40;0.2084
2016;41;0.2051
2016;42;0.2214
2016;43;0.2064
2016;44;0.2188
2016;45;0.2793
2016;46;0.2942
2016;47;0.317
2016;48;0.2591
2016;49;0.3014
2016;50;0.3254
2016;51;0.3248
2016;52;0.4575
2017;1;0.5869
2017;2;0.4308
2017;3;0.3554
2017;4;0.4204
2017;5;0.4354
2017;6;0.4848
2017;7;0.4061
2017;8;0.4152
2017;9;0.4575
2017;10;0.3703
2017;11;0.4497
2017;12;0.3385
2017;13;0.3645
2017;14;0.2591
2017;15;0.3163
2017;16;0.3248
2017;17;0.2337
2017;18;0.2825
2017;19;0.2253
2017;20;0.2253
2017;21;0.2871
2017;22;0.2994
2017;23;0.2474
2017;24;0.1882
2017;25;0.1719
2017;26;0.1765
2017;27;0.1479
2017;28;0.1817
2017;29;0.1199
2017;30;0.1875
2017;31;0.1381
2017;32;0.1296
2017;33;0.2116
2017;34;0.1914
2017;35;0.1992
2017;36;0.2357
2017;37;0.2279
2017;38;0.1947
2017;39;0.2253
2017;40;0.3059
2017;41;0.2942
2017;42;0.1966
2017;43;0.2038
2017;44;0.2116
2017;45;0.196
2017;46;0.2695
2017;47;0.2799
2017;48;0.3326
2017;49;0.2545
2017;50;0.3001
2017;51;0.3528
2017;52;0.492
2018;1;0.6319
2018;2;0.4848
2018;3;0.4308
2018;4;0.4016
2018;5;0.356
2018;6;0.3248
2018;7;0.3437
2018;8;0.3359
2018;9;0.3411
2018;10;0.3463
2018;11;0.2955
2018;12;0.3899
2018;13;0.3645
2018;14;0.3027
2018;15;0.2539
2018;16;0.2097
2018;17;0.2376
2018;18;0.2389
2018;19;0.2663
2018;20;0.1778
2018;21;0.155
2018;22;0.2539
2018;23;0.1752
2018;24;0.1804
2018;25;0.157
2018;26;0.1661
2018;27;0.1823
2018;28;0.1953
2018;29;0.1648
2018;30;0.1453
2018;31;0.1726
2018;32;0.1257
2018;33;0.1544
2018;34;0.1433
2018;35;0.1309
2018;36;0.2064
2018;37;0.1557
2018;38;0.1947
2018;39;0.1862
2018;40;0.1713
2018;41;0.1849
2018;42;0.1576
2018;43;0.2552
2018;44;0.2454
2018;45;0.2005
2018;46;0.2754
2018;47;0.2077
2018;48;0.3053
2018;49;0.2571
2018;50;0.2578
2018;51;0.2819
2018;52;0.3547
2019;1;0.4282
2019;2;0.3931
2019;3;0.3209
2019;4;0.397
2019;5;0.3964
2019;6;0.3925
2019;7;0.3886
2019;8;0.4744
2019;9;0.3964
2019;10;0.412
2019;11;0.4699
2019;12;0.3957
2019;13;0.4549
2019;14;0.4282
2019;15;0.3137
2019;16;0.3346
2019;17;0.2793
2019;18;0.3085
2019;19;0.3085
2019;20;0.317
2019;21;0.3053
2019;22;0.3287
2019;23;0.3092
2019;24;0.2396
2019;25;0.2162
2019;26;0.1661
2019;27;0.2018
2019;28;0.2233
2019;29;0.1849
2019;30;0.1862
2019;31;0.1934
2019;32;0.1589
2019;33;0.1674
2019;34;0.1602
2019;35;0.1778
2019;36;0.2454
2019;37;0.2012
2019;38;0.1869
2019;39;0.2214
2019;40;0.2123
2019;41;0.2793
2019;42;0.248
2019;43;0.2656
2019;44;0.3118
2019;45;0.3469
2019;46;0.3794
2019;47;0.3137
2019;48;0.4764
2019;49;0.343
2019;50;0.3755
2019;51;0.4699
2019;52;0.7314
2020;1;0.9922
2020;2;0.6019
2020;3;0.5577
2020;4;0.6689
2020;5;0.5447
2020;6;0.5499
2020;7;0.6
2020;8;0.613
2020;9;0.6175
