"SubmittedDate","TestName","ProcedureName","Discipline","Species","Breed","ShortName","Disease","CountyName"
"2010-07-09 15:12:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Shelby"
"2010-12-16 16:21:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Shelby"
"2011-04-19 10:33:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Saddle Horse, American","Fetus","Placentitis","Shelby"
"2011-04-23 13:35:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","","Fetus","Placentitis, Bacterial","Shelby"
"2013-02-16 13:52:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Saddlebred, American","Neonate","Placentitis","Shelby"
"2013-03-21 10:23:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Paint Horse, American","Fetus","Placentitis","Shelby"
"2013-08-20 10:48:50","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Shelby"
"2016-03-24 10:53:51","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Shelby"
"2017-01-21 02:16:15","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Shelby"
"2017-02-16 12:25:18","Gross Necropsy - Equine Placenta","Necropsy","Pathology","Equine","Thoroughbred","Adult","Placentitis, Bacterial","Shelby"
"2017-11-01 15:36:51","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Saddlebred, American","Fetus","Placentitis, Bacterial","Shelby"
"2020-01-18 11:15:29","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Shelby"
