"SubmittedDate","TestName","ProcedureName","Discipline","Species","Breed","ShortName","Disease","CountyName"
"2010-07-06 09:57:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","","Fetus","Placentitis, Bacterial","Fayette"
"2010-09-02 11:35:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Standardbred","Fetus","Placentitis","Fayette"
"2010-10-12 13:46:00","Gross Necropsy - Equine Placenta","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Fayette"
"2010-10-26 11:27:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Fayette"
"2010-10-30 14:13:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Fayette"
"2010-11-02 10:51:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Standardbred","Fetus","Placentitis","Fayette"
"2010-11-04 13:40:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Fayette"
"2010-11-04 14:05:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Suppurative","Fayette"
"2010-11-09 15:20:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Fayette"
"2010-11-17 16:12:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Fayette"
"2010-11-19 11:03:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Fayette"
"2010-11-24 12:30:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Fayette"
"2010-11-24 12:43:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Fayette"
"2010-11-29 08:34:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Suppurative","Fayette"
"2010-11-29 09:15:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Fayette"
"2010-11-29 09:15:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Fayette"
"2010-11-30 10:19:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Fayette"
"2010-12-03 12:59:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Fayette"
"2010-12-08 09:45:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Fayette"
"2010-12-08 11:21:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Fayette"
