"SubmittedDate","TestName","ProcedureName","Discipline","Species","Breed","ShortName","Disease","CountyName"
"2011-01-03 08:17:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Oldham"
"2011-01-18 13:01:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Oldham"
"2011-02-21 12:30:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Oldham"
"2012-01-12 13:35:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Oldham"
"2012-03-21 11:04:42","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Oldham"
"2012-04-11 11:56:44","Gross Necropsy - Equine Placenta","Necropsy","Pathology","Equine","Thoroughbred","Adult","Placentitis","Oldham"
"2013-02-05 10:18:50","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Oldham"
"2013-02-16 16:12:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Oldham"
"2013-02-16 16:12:00","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Oldham"
"2014-02-22 13:45:51","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Oldham"
"2016-02-05 12:00:55","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Oldham"
"2016-12-26 09:00:08","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Oldham"
"2017-12-11 14:55:19","Gross Necropsy - Equine Placenta","Necropsy","Pathology","Equine","Thoroughbred","Adult","Placentitis, Bacterial","Oldham"
"2020-03-03 14:36:06","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis, Bacterial","Oldham"
"2020-03-06 13:15:36","Gross Necropsy - Equine Placenta","Necropsy","Pathology","Equine","Thoroughbred","Adult","Placentitis, Bacterial","Oldham"
"2020-03-19 11:16:08","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Thoroughbred","Fetus","Placentitis","Oldham"
"2022-04-13 10:54:40","Gross Necropsy - Equine Fetus/Foal","Necropsy","Pathology","Equine","Polo","Fetus","Placentitis, Mycotic","Oldham"
