week ;Covid_GER;total_GER;total_GER2;Covid_LUX;total_LUX;total_LUX2;Covid_USA;total_USA;Euromomo;Euromomo2;Euromomo3;Covid_ECDC;Covid_ECDC2;total_AUS;total_AUS2;total_AUS3;Covid_AUS;Covid_AUS2;Covid_THA;total_ECU;Covid_ECU;birds_GER;birds_LUX;birds_LUX2;horses_cases;horses_cases2;horses_deaths;horses_deaths2;Covid_ECDC22
10;3;19590;;0;91;;36;59692;74459;;;192;192;2602;2602;2602;1;1;1;1436;0;92;3;3;0;0;1;1;191
11;17;19855;;1;91;;57;58667;76189;76189;;1323;1323;2567;2567;2567;2;2;0;1466;2;134;7;7;3;3;0;0;1315
12;162;19917;;4;89;;575;59212;82731;82731;82731;4604;4604;2682;2682;2682;3;3;0;1507;5;284;1;1;13;13;12;12;4573
13;601;19653;19653;10;112;;3177;63020;95292;95292;95292;13510;13510;2760;2760;2760;11;11;5;3731;41;351;5;5;102;;88;;13342
14;1367;20425;20425;16;90;90;10076;72288;106865;106865;106865;24583;24583;2856;2856;2856;21;21;14;7157;122;1021;25;25;92;92;90;90;23885
15;1738;20620;20620;23;116;116;16248;79086;104989;104989;104989;29374;29374;2784;2784;2784;19;19;15;6346;145;4829;87;;99;99;92;92;28254
16;1594;19365;19365;18;89;89;17113;76800;94260;94260;94260;27447;27447;2672;2672;;8;;12;4420;141;4440;141;141;103;103;91;91;25935
17;1168;18778;18778;13;84;84;15491;73909;84377;84377;84377;22636;22636;2694;2694;2694;9;9;4;3444;145;2396;73;73;62;62;75;75;20872
18;782;18055;18055;7;69;69;13186;69294;76370;76370;76370;17324;17324;2657;2657;2657;9;9;3;2794;770;959;12;12;57;57;50;50;15452
19;511;17543;17543;8;89;;11212;66810;72647;72647;72647;13001;13001;2806;;;3;3;2;2580;345;922;7;7;30;30;24;24;11448
20;349;17050;17050;4;77;77;9199;64479;68261;68261;68261;9948;9948;2694;;;3;3;0;2291;971;276;5;5;5;5;14;14;8291
21;270;17236;17236;5;78;78;7215;61622;67923;67923;67923;7811;7811;2805;;;3;3;0;2123;408;0;4;4;8;8;6;6;6275
22;150;16811;16811;1;79;79;6152;59678;65185;65185;65185;4291;4291;2786;;;0;0;1;2096;250;0;1;1;0;0;3;3;2500
23;113;17240;17240;0;73;73;5026;58906;64665;64665;64665;4725;4725;2723;;;0;0;1;2067;262;0;;;0;0;0;0;2957
24;72;16555;16555;0;69;69;4221;58023;63426;63426;63426;3990;3990;2723;;;0;0;0;2164;266;0;;;0;0;;;2152
25;47;16516;16516;0;78;78;3827;57992;62963;62963;62963;4785;;2661;;;1;1;0;2122;325;;;;;;;;2768
